,text
165,"In this study, chlorodeoxyhydroxyethylcellulose (CDHC) was synthesized from hydroxyethylcellulose (HEC) through chlorination and then both HEC and CDHC were applied individually as additives within the methylammonium lead iodide (CH3NH3PbI3, MAPbI3) layers of perovskite solar cells (PVSCs). The architecture of the PVSCs was indium tin oxide/poly(3,4-ethylenedioxythiophene):polystyrenesulfonate/MAPbI3:cellulose derivative/[6,6]-phenyl-C61-butyric acid methyl ester/Ag. The photovoltaic (PV) properties of the HEC- and CDHC-incorporated PVSCs were superior to those of the corresponding pristine PVSC prepared without an additive, a result of decreases in the number of grain boundary defects as well as increases in the crystal grain sizes, crystallinities, and absorption intensities of the modified perovskite films. Moreover, the polymer chains of CDHC, presenting chlorine atoms, were particularly beneficial for enhancing the crystal size and crystallinity of the MAPbI3 film, resulting in the highest absorbance and PV performance in this study being those of a CDHC-doped PVSC. Indeed, this CDHC-incorporated PVSC displayed a short-circuit current density of 17.73 mA cm−2, an open-circuit voltage of 0.96 V, a fill factor of 0.61, and a power conversion efficiency of 10.38%"
166,"The high cost of hole transporting materials (HTMs) and noble metal electrodes limits the application of perovskite solar cells (PSCs). Carbon materials have been commonly utilized for HTMs and noble-metal-free PSCs. In this paper, a more conductive 2D MXene material (Ti3C2), showing a similar energy level to carbon materials, has been used as a back electrode in HTMs and noble-metal-free PSCs for the first time. Seamless interfacial contact between the perovskite layer and Ti3C2 material was obtained using a simple hot-pressing method. After the adjustment of key parameters, the PSCs based on the Ti3C2 electrode show more stability and higher power conversion efficiencies (PCE) (13.83%, 27% higher than that (10.87%) of the PSCs based on carbon electrodes) due to the higher conductivity and seamless interfacial contact of the MXene electrode. Our work proposes a promising future application for MXene and also a good electrode candidate for HTM and the noble-metal-free PSCs"
167,"Organic-inorganic hybrid perovskite solar cells (PSCs) have witnessed a rapid rising in power conversion efficiency (PCE) over the past few years; however, they still suffer from recombination loss via interface defects in perovskite films. In this study, we implement an efficient phase purification strategy by incorporating isopropyl alcohol (IPA) post-treatment of perovskite films that reduces defect states and improves charge transport. It is found that the DMSO-PbI2-MAI complex in the perovskite film is eliminated after IPA post-treatment. A suit of opto-electric characterizations demonstrates that the nonradiative recombination is greatly diminished, and charge extraction is effectively boosted in the modified perovskite films. The perovskite solar cells with phase-pure MAPbI3 achieve an impressively larger PCE of 18.78% than that of 17.1% for the control devices. Our work presents a facile and efficient path to performance improvement of PSCs."
168,"Previously, benzotrithiophene (BTT)-based hole-transporting materials (HTMs) had to be doped with three chemical agents for high-efficiency perovskite solar cells (PSC). This work describes significant progress by which the first dopant-free BTT core-based HTM (YKP03) with EDOT spacers was readily accessed by step-saving direct C–H arylation. PSCs with dopant-free YKP03 showed promising efficiencies of up to 16.15% with potential long-term storage stability."
169,"It is well known that the different proportions of CuO and Cu2O in CuOx hole transfer materials have a great influence on the hole transport property as well as the device performances of perovskite solar cells (PSCs). In this paper, we changed the content of Cu2O in the film by controlling the deposition voltage during electrodeposition, and the effects of different contents of Cu2O in the films on the device were investigated for the first time. It was found that the content of Cu2O in the film reached the highest point with the deposition voltage 0.5V, such films have the highest transmittance and carrier mobility. After assembling the device, the power conversion efficiency (PCE) of the champion device reached 13.48% under a one-sun AM 1.5G (100mW/cm2) illumination. Furthermore, the unpackaged device based on CuOx still retained over 75% PCE after being placed in the ambient condition (30–40% humidity, 20–30∘C) for 500h"
170,"2D perovskites have attracted extensive attention due to their excellent stability compared with 3D perovskites. However, the intrinsic hydrophilicity of introduced alkylammonium salts effects the humidity stability of 2D/3D perovskites. Devices based on longer chain alkylammonium salts show improvement in hydrophobicity but lower efficiency due to the poorer charge transport among various layers. To solve this issue, two hydrophobic short-chain alkylammonium salts with halogen functional groups (2-chloroethylamine, CEA+ and 2-bromoethylamine, BEA+) are introduced into (Cs0.1FA0.9)Pb(I0.9Br0.1)3 3D perovskites to form 2D/3D perovskite structure, which achieve high-quality perovskite films with better crystallization and morphology. The optimal 2D/3D perovskite solar cells (PSCs) with 5% CEA+ display a power conversion efficiency (PCE) as high as 20.08% under 1 sun irradiation. Because of the notable hydrophobicity of alkylammonium cations with halogen functional groups and the formed 2D/3D perovskite structure, the optimal PSCs exhibit superior moisture resistance and retain 92% initial PCE after aging at 50 ± 5% relative humidity for 2400 h. This work opens up a new direction for the design of new-type 2D/3D PSCs with improved performance by employing proper alkylammonium salts with different functional groups."
171,"It has been reported that nonradiative charge carrier recombination in hybrid perovskite materials restricts the device performance of perovskite solar cells. In this study, we report efficient perovskite solar cells through suppressed nonradiative charge carrier recombination by a processing additive, aminopropanoic acid. It is found that aminopropanoic acid not only modulates the crystal growth processes but also minimizes the defects of CH3NH3PbI3 thin films. Moreover, the CH3NH3PbI3 thin films processed with the addition of aminopropanoic acid exhibit both enhanced photoluminescence and electroluminescence and elongated charge carrier lifetime, indicating that nonradiative charge carrier recombination within the CH3NH3PbI3 thin films is drastically suppressed. As a result, perovskite solar cells fabricated using the CH3NH3PbI3 thin films processed with the addition of aminopropanoic acid exhibit approximately 15% enhanced efficiency as compared with those made with pristine CH3NH3PbI3 thin films. All of these results demonstrate that our findings provide a facile way to improve the efficiency of perovskite solar cells."
172,"Dion–Jacobson (DJ) type 2D perovskites with a single organic cation layer exhibit a narrower distance between two adjacent inorganic layers compared to the corresponding Ruddlesden–Popper perovskites, which facilitates interlayer charge transport. However, the internal crystal structures in 2D DJ perovskites remain elusive. Herein, in a p-xylylenediamine (PDMA)-based DJ perovskite bearing bifunctional NH3+ spacer, the compression from confinement structure (inorganic layer number, n = 1, 2) to nonconfinement structure (n > 3) with the decrease of PDMA molar ratio is unraveled. Remarkably, the nonconfined perovskite displays shorter spacing between 2D quantum wells, which results in a lower exciton binding energy and hence promotes exciton dissociation. The significantly diminishing quantum confinement promotes interlayer charge transport leading to a maximum photovoltaic efficiency of ≈11%. Additionally, the tighter interlayer packing arising from the squeezing of inorganic octahedra gives rise to enhanced ambient stability."
173,"Producing high efficiency solar cells without high-temperature processing or use of additives still remains a challenge with the two-step process. Here, the solution processing of MAPbI3 from PbI2 films in N,N-dimethylformamide (DMF) is investigated. In-situ grazing incidence wide-angle X-ray scattering (GIWAXS) measurements reveal a sol–gel process involving three PbI2-DMF solvate complexes—disordered (P0) and ordered (P1, P2)—prior to PbI2 formation. When the appropriate solvated state of PbI2 is exposed to MAI (methylammonium Iodide), it can lead to rapid and complete room temperature conversion into MAPbI3 with higher quality films and improved solar cell performance. Complementary in-situ optical reflectance, absorbance, and quartz crystal microbalance with dissipation (QCM-D) measurements show that dry PbI2 can take up only one third of the MAI taken up by the solvated-crystalline P2 phase of PbI2, requiring additional annealing and yet still underperforming. The perovskite solar cells fabricated from the ordered P2 precursor show higher power conversion efficiency (PCE) and reproducibility than devices fabricated from other cases. The average PCE of the solar cells is greatly improved from 13.2(±0.53)% (from annealed PbI2) to 15.7(±0.35)% (from P2) reaching up to 16.2%. This work demonstrates the importance of controlling the solvation of PbI2 as an effective strategy for the growth of high-quality perovskite films and their application in high efficiency and reproducible solar cells"
174,"Lead halide perovskite solar cells afford high power conversion efficiencies, even though the photoactive layer is formed in a solution process. At the same time, solution processing may impose some severe dewetting issues, especially if organic, hydrophobic charge transport layers are considered. Ultimately, very narrow processing windows with a relatively large spread in device performance and a considerable lab-to-lab variation result. Here, we unambiguously identify dimethylsulfoxide (DMSO), which is commonly used as a co-solvent and complexing agent, to be the main reason for dewetting of the precursor solution on hydrophobic hole transport layers, such as polytriarylamine, in a gas-quenching-assisted deposition process. In striking contrast, we will show that N-methyl-2-pyrrolidon (NMP), which has a lower hydrophilic–lipophilic-balance, can be favorably used instead of DMSO to strongly mitigate these dewetting issues. The resulting high-quality perovskite layers are extremely tolerant with respect to the mixing ratio (NMP/dimethylformamide) and other process parameters. Thus, our findings afford an outstandingly robust, easy to use, and fail-safe deposition technique, yielding single (MAPbI3) and double (FA0.94Cs0.06PbI3) cation perovskite solar cells with high efficiencies (∼18.5%). Most notably, the statistical variation of the devices is significantly reduced, even if the deposition process is performed by different persons. We foresee that our results will further the reliable preparation of perovskite thin films and mitigate process-to-process variations that still hinder the prospects of upscaling perovskite solar technology."
175,"Optimal optoelectronic properties of interfacial layers in perovskite solar cells are essential for achieving high power conversion efficiency. We herein demonstrated a solution-processed spinel CuCo2O4 as a hole transport layer to use in high-performance perovskite solar cells. The solution-processed CuCo2O4 possessed high electrical conductivity, high optical transparency in UV–vis–NIR, well-matched energy levels to perovskite, and efficient hole transport capability to the perovskite layer. The optoelectronic properties of CuCo2O4 were finely controlled by optimizing the annealing temperature, leading to a 14.12% power conversion efficiency in planar perovskite solar cells. Another impressive advantage for the CuCo2O4-based hole transport layer is a negligible hysteresis of the device at very low scan rate, which brought about highly stable and reliable photovoltaic performance. All of the results studied in this work suggest a bright future for solution-processed CuCo2O4 as a novel hole transport layer in perovskite solar cells with high efficiency and good stability."
176,"A small amount of a radical-bearing redox-active polymer, poly(1-oxy-2,2,6,6-tetramethylpiperidin-4-yl methacrylate) (PTMA), incorporated into the photovoltaic organo-lead halide perovskite layer significantly enhanced durability of both the perovskite layer and its solar cell and even exposure to ambient air or oxygen. PTMA acted as an eliminating agent of the superoxide anion radical formed upon light irradiation on the layer, which can react with the perovskite compound and decompose it to lead halide. A cell fabricated with a PTMA-incorporated perovskite layer and a hole-transporting polytriarylamine layer gave a photovoltaic conversion efficiency of 18.8 % (18.2 % for the control without PTMA). The photovoltaic current was not reduced in the presence of PTMA in the perovskite layer probably owing to a carrier conductivity of PTMA. The incorporated PTMA also worked as a water-repelling coating for providing humidity-resistance to the organo-lead halide perovskite laye"
177,"In this study, polyethylene oxide (PEO) is introduced into methylammonium lead iodide (MAPbI3) perovskite to replace the standard anti-solvent washing process of perovskite solar cells. By forming PEO-MAPbI3 composites, we achieved controllability of the perovskite surface morphology. Furthermore, the PEO addition improved the electronic properties of the composites by suppressing the trap density of the MAPbI3 perovskite. We observed a significant increase in the average power conversion efficiency (PCE) of the perovskite solar cells (PVSCs) from 0.24% to 7.25% using the proper PEO-perovskite composition ratio (1.5:1), based on their fabrication without any organic anti-solvent treatment. Moreover, the performance uniformity and outdoor stability were significantly enhanced by employing the composite. The proposed PEO-perovskite composite offers a promising pathway for the industrialization of PVSCs in terms of PCE, uniformity, stability, and feasibility—without involving current anti-solvent washing process"
178,"Herein, commercially accessible SnO2 and home-made TiO2 nanoparticles as a combined electron transporting bilayer (ETBL) are applied to achieve highly efficient planar perovskite solar cells (PSCs). With the formed cascade-aligned energy levels from the proper stacking of SnO2 and TiO2 layers and the excellent defect-passivation ability of TiO2, SnO2/TiO2 ETBLs effectively reduce energy loss and inhibit defects formation both at the electron transporting layers (ETL)/perovskite interfaces and within the bulk of perovskite layer as revealed by a comprehensive analysis of photoelectric characteristic analysis, including ultraviolet photoelectron spectroscopy, photoluminescence, and electrochemical impedance spectroscopy. Consequently, the PSC devices acquired a power conversion efficiency (PCE) of 20.50% with a Voc of 1.10 V, a Jsc of 24.2 mA cm−2 and an fill factor of 77%, which are superior to the values of the control device based on single SnO2 layer with a PCE of 18.09% (a 13.3% boosting on PCE). Moreover, there was no degradation after 49 days, indicating the great stability after adding TiO2 layer. Herein, it is demonstrated that the cascaded alignment of energy levels between the electrode and perovskite layer by ETBLs could be an effective approach to improve the photovoltaic performance of the PSCs with excellent long-term stability."
179,"PEDOT:PSS is widely used in perovskite solar cells (PSCs) as the most popular hole transporting layer (HTL). However, p-i-n type inverted planar PSCs based on the PEDOT:PSS HTL typically exhibit up to 200 mV more voltage loss compared to conventional planar PSCs (n-i-p) that generally show open circuit voltages (VOC) of around 1.1 V. In this study, we develop a simple, inexpensive and effective interfacial engineering strategy by doping PEDOT:PSS with cesium iodide (CsI) to reduce the voltage loss and achieve highly efficient inverted PSCs. SEM, AFM, and XPS measurements suggest that CsI modifies the interface between PEDOT:PSS and perovskite by reacting with PbI2 to form CsPbI3, thus facilitating interfacial contact and charge transport. Moreover, after CsI-modification (CsI-PEDOT:PSS), the hole transport properties of PEDOT:PSS and the hole extraction are enhanced, while the energy levels are more favorable and charge recombination is suppressed. Importantly, compared to pristine PEDOT:PSS that suffers from a large non-radiative recombination loss (0.375 V), CsI-PEDOT:PSS makes the device to realize an impressively low non-radiative voltage loss (only 0.287 V). As a result, inverted PSCs based on CsI-PEDOT:PSS show a small voltage loss, an excellent power conversion efficiency (PCE) of 20.22%, and no hysteresis and achieve a high VOC (1.084 V), while the control device without CsI shows an inferior efficiency of 16.57%. Both the high VOC and PCE are an improvement over literature data on modified PEDOT:PSS-based inverted PSCs."
180,"Perovskite solar cells typically use TiO2 as charge extracting materials, which reduce the photostability of perovskite solar cells under illumination (including ultraviolet light). Simultaneously realizing the high efficiency and photostability, it is demonstrated that the rationally designed iron(III) oxide nanoisland electrodes consisting of discrete nanoislands in situ growth on the compact underlayer can be used as compatible and excellent electron extraction materials for perovskite solar cells. The uniquely designed iron(III) oxide electron extraction layer satisfies the good light transmittance and sufficient electron extraction ability, resulting in a promising power conversion efficiency of 18.2%. Most importantly, perovskite solar cells fabricated with iron(III) oxide show a significantly improved UV light and long-term operation stabilities compared with the widely used TiO2-based electron extraction material, owing to the low photocatalytic activity of iron(III) oxide. This study highlights the potential of incorporating new charge extraction materials in achieving photostable and high efficiency perovskite photovoltaic devices."
181,"For flexible perovskite solar cells, achieving high power conversion efficiency by using a room-temperature technology to fabricate a compact electron transport layer is one of the best options. Here, we develop an annealing-free, dopant-free, and amorphous tungsten oxide as electron transport layer by vacuum evaporation for flexible perovskite solar cells. The compact amorphous tungsten oxide electron transport layer with different thicknesses (0–50 nm) was directly deposited on flexible PEN/ITO substrate. A model of the improvement mechanism is proposed to understand how the thickness tailoring simultaneously enhances the crystallization and relaxes the trade-off between interface recombination and charge transfer. By optimizing the amorphous tungsten oxide thickness, the high homogeneous, uniform, and dense electron transport layer with a thickness of 30 nm is found to not only decrease the pinhole of the perovskite layer, but also enhance charge transport with reducing resistance. Furthermore, the mechanical bending stability revealed that, the fabricated perovskite solar cells show stable power conversion efficiency up to more than 1000 bending cycles. The room-temperature processed fabrication enables the amorphous tungsten oxide to become a potential electron transport layer candidate for the large-scale flexible perovskite solar cells, which becomes compatible with practical roll-to-roll solar cells manufacturing."
182,"Integrating a perovskite solar cell (PSC) with a thermoelectric generator (TEG) into a hybrid system can convert solar energy into electricity by simultaneously utilizing the solar light and the waste heat produced from the PSC. Although such hybrid devices with a small area have been proposed, the fabrication of a large-area perovskite solar module (PSM) containing variable series and parallel connecting modes of subcells for the match with the same-size TEG still remain challenging. This work is to demonstrate the feasibility of fabricating a large-area (16 cm2) PSM-TEG device by hybridizing a PSM and a TEG in series. With the combination of series and parallel-connected modes of the PSC subcells, an optimal PSM-TEG device affords a highest power conversion efficiency (PCE) of 12.7% with an open-circuit voltage of 6.80 V and a maximum power output of 103 mW under the irradiation of 100 mW/cm2 condition and maintains 85% of its initial PCE after 400 h under continuous illumination."
183,"Inorganic cesium lead bromide (CsPbBr3) perovskite solar cells (PSCs) have superior moisture- and thermal-stability in comparison with organic-specie or/and I-containing devices. However, the narrow-spectra absorption (<550 nm) arising from their large bandgap of 2.3 eV for CsPbBr3 halide has markedly limited the further efficiency enhancement of corresponding inorganic device, therefore a great challenge is to broaden the light response range without sacrificing environmental tolerances. In this work, we constructively fabricate a CsPbBr3/bulk-heterojunction (organic J61-ITIC) photoactive layer to widen the optical absorption range of inorganic CsPbBr3 based interlayer-free device. Arising from the broadened light response wavelength from 550 to 780 nm and precisely optimized crystal lattice by incorporating Rb+ into CsPbBr3 film, the optimal device achieves a power conversion efficiency up to 10.34% under one sun illumination. Upon persistent attacks by heat of 80 °C (0% humidity) or 90% humidity (25 °C) over 40 days, the solar cell can still remain approximately 96% of initial efficiency, demonstrating the excellent stability for practical application."
184,"To fabricate efficient MAPbI3 perovskites using the Lewis acid-base adduct approach, we used a Lewis base hexamethylphosphoramide (HMPA) having a high donor number (DN), and investigated the effect of high-DN HMPA treatment on the properties of planar MAPbI3-based solar cells. The main functions of the HMPA treatment were to passivate the perovskites by forming well-distributed PbI2 phases and to densify the perovskites by controlling the rate constants. The treatment with Lewis base HMPA by one-step spin coating and subsequent solvent washing promoted the formation of pinhole-free perovskite films by increasing the coordination ability of HMPA with Pb2+ adducts and controlling the nucleation and growth rates of the perovskites. In addition, treatment with various concentrations of HMPA led to the formation of a residual PbI2 phase that acted as a passivation layer, even though stoichiometric quantities of precursors were used. Through a series of advanced electron microscopy studies, the exact three-dimensional locations of the PbI2 passivation layers were determined. Furthermore, by calculating the decreased active trap concentrations and carrier densities, we verified the passivation effect of remnant PbI2. Importantly, we achieved the best power conversion efficiency of 17.09% by the controlled addition of Lewis base HMPA, thus demonstrating a much improved performance than that obtained without HMPA treatment (15.73%)."
185,"Perovskite solar cells (PSCs) with power conversion efficiencies (PCEs) of 25 % mainly have SnO2 or TiO2 as electron-transporting layers (ETLs). Now, zinc titanate (ZnTiO3, ZTO) is proposed as mesoporous ETLs owing to its weak photo-effect, excellent carrier extraction, and transfer properties. Uniform mesoporous films were obtained by spinning coating the ZTO ink and annealed below 150 °C. Photovoltaic devices based on Cs0.05FA0.81MA0.14PbI2.55Br0.45 perovskite sandwiched between SnO2-mesorporous ZTO electrode and Spiro-OMeTAD layer achieved the PCE of 20.5 %. The PSCs retained more than 95 % of their original efficiency after 100 days lifetime test without being encapsulated. Additionally, the PSCs retained over 95 % of the initial performance when subjected at the maximum power point voltage for 120 h under AM 1.5 G illumination (100 mW cm−2), demonstrating superior working stability. The application of ZTO provides a better choice for ETLs of PSCs."
186,"Hybrid organic–inorganic perovskites with appealing optoelectronic properties have attracted significant interest for photovoltaic application. The use of chloride (Cl–)-containing species to induce improved perovskite thin-film microstructures and improved optoelectronic properties is well-established. However, the mechanism for the formation of perovskite films with highly textured, micron-sized grains in the presence of Cl– is not well established. Using synchrotron-based in situ two-dimensional grazing incidence wide-angle X-ray scattering complemented by scanning electron microscopy imaging, we present an oriented attachment mechanism via mineral bridge formation for the microstructural evolution of perovskite films post-treated with methylammonium chloride. We have identified the crucial role of the chlorine-containing intermediate phase as the mineral bridge, which enables the reorientation of primary, nanoscale perovskite grains followed by fusion into uniaxial oriented quasi-single crystal grains. The resulting perovskite films exhibit micron-sized grains with preferential orientation of the tetragonal (110) direction perpendicular to the substrate, resulting in improved solar cell efficiency attributed to improved charge collection. Our findings help to understand the fundamental mechanisms of microstructure evolution via soft processing in hybrid perovskite films."
187,"State-of-the-art Cu(In,Ga)Se2 (CIGS) solar cells are grown with considerably substoichiometric Cu concentrations. The resulting defects, as well as potential improvements through increasing the Cu concentration, have been known in the field for many years. However, so far, cells with high Cu concentrations show decreased photovoltaic parameters. In this work, it is shown that RbF postdeposition treatment of CuInSe2 solar cells allows for capturing the benefits from the improved absorber quality with increasing Cu content. A reduced defect density and an increased doping level for cells with high Cu concentrations close to stoichiometry are demonstrated. Implementing a high mobility front transparent conductive oxide (TCO), the improved absorbers with 1.00 eV bandgap yield a solar cell efficiency of 19.2%, and combined with a perovskite top cell a 4-terminal tandem efficiency of 25.0% are demonstrated, surpassing the record efficiency of both subcell technologies."
188,"The optical properties of halide perovskite are already tuned in the initial solution by choosing the preferred precursors. However, it is not obvious that the optical properties change following perovskite crystallization; moreover, the mechanism in this case is not clear. Herein, it is shown that the optical properties are not necessarily “fixed” following perovskite crystallization. The phenomenon using the halide exchange process in the solid phase of an already crystalized perovskite is demonstrated. The effects of formamidinium iodide (FAI) and formamidinium bromide (FABr) are investigated post-treatment on the physical, optical, and PV properties of Cs0.2FA0.8Pb(I0.75Br0.25)3 perovskite. Various FAI/FABr ratios in the post-treatment solutions show that a halide exchange occurs in the solid-state phase following the crystallization of the perovskite film. Energy-dispersive spectroscopy line scan made on focused ion beam samples show that the bromide is present deep inside the film post-treatment, which supports the fact that the reaction is not occurring only on the surface. Charge extraction and voltage decay measurements of the complete solar cells support the structural changes due to the halide exchange. This work enhances the knowledge of halide exchange in already crystalized perovskite."
189,"Perovskites are promising solution processible materials widely used for solar cell application. We developed a vacuum-assisted deposition (VAD), which allowed spin-coating process under different vacuum conditions. Via two-step deposition for perovskite solution, VAD affects evaporation rate during deposition and perovskite formation. VAD improved all key properties necessary for optoelectronics like morphology, UV–visible absorption, and crystallinity along with UV, thermal, and moisture stability. Moreover, perovskite films became harder with VAD, paving the way for high mechanical stability. VAD opened a new door for high stability, dense perovskite films and could be adapted for various perovskite compositions for optoelectronic application."
190,"Perovskite solar cells are experiencing an unprecedented growth and might soon replace the conventional solar technologies. For inverted architecture cells, spin coated (SC) PEDOT:PSS has been widely implemented as hole transport material, but it has still unresolved issues regarding stability and scalability. In this work we deposited PEDOT:PSS layers by an alternative electrochemical (EC) route that offers precise synthesis control, scale-up potential and enhanced cell stability. The EC-PEDOT:PSS layers were deposited on ITO substrates from an aqueous solution of EDOT and NaPSS by cyclic voltammetry. Additionally, NaCl in different concentrations was added to the synthesis solution to tune the redox state of the polymer, as confirmed by UV-vis measurements. Photoluminescence emission spectra of MAPbI3 perovskite deposited on EC- and SC-PEDOT:PSS layers showed that both had a similar charge collection efficiency. Furthermore, SEM images demonstrated that MAPbI3 grew similarly on both films. Finally, inverted perovskite solar cells were fabricated using these layers. The results showed that 0.1 M NaCl doped EC-PEDOT:PSS performed similarly as the SC-PEDOT:PSS, achieving efficiencies as high as 11% and improved fill factors exceeding 80%. Most importantly, the EC-PEDOT:PSS significantly improved the stability of the cells, allowing the devices to maintain 90% of their average efficiency after 15 days."
191,"All-inorganic perovskite solar cells have developed rapidly in the last two years due to their excellent thermal and light stability. However, low efficiency and moisture instability limit their future commercial application. The mixed-halide inorganic CsPbI2Br perovskite with a suitable bandgap offers a good balance between phase stability and light harvesting. However, high defect density and low carrier lifetime in CsPbI2Br perovskites limit the open-circuit voltage (Voc < 1.2 V), short-circuit current density (Jsc < 15 mA cm−2), and fill factor (FF < 75%) of CsPbI2Br perovskite solar cells, resulting in an efficiency below 14%. For the first time, a CsPbI2Br perovskite is doped by Eu(Ac)3 to obtain a high-quality inorganic perovskite film with a low defect density and long carrier lifetime. A high efficiency of 15.25% (average efficiency of 14.88%), a respectable Voc of 1.25 V, a reasonable Jsc of 15.44 mA cm−2, and a high FF of 79.00% are realized for CsPbI2Br solar cells. Moreover, the CsPbI2Br solar cells with Eu(Ac)3 doping demonstrate excellent air stability and maintain more than 80% of their initial power conversion efficiency (PCE) values after aging in air (relative humidity: 35–40%) for 30 days."
192,"The highest occupied molecular orbital (HOMO) level of hole-transporting polymeric materials was tuned by postfunctionalization based on a highly-efficient [2 + 2] cycloaddition-retroelectrocyclization (CA-RE) reaction. After the CA-RE reaction, the HOMO level of an aromatic polyamine, determined by the electrochemical first oxidation potential, was lowered from −5.30 eV to −5.37 eV. This enabled the smooth hole injection from the perovskite layer of organic-inorganic perovskite solar cells. Although the hole mobility of the aromatic polyamine, determined by the space-charge limited current (SCLC) method, decreased by this postfunctionalization, the energy level adjustment was more significant for the improvement of the solar cell performances. The device based on the postfunctionalized polyamine with the HOMO level of −5.37 eV showed more than twice the photoconversion efficiency than that based on the precursor polyamine with the HOMO level of −5.30 eV."
193,"Inverted perovskite solar cells (PSCs) that can be entirely processed at low temperatures have attracted growing attention due to their cost-effective production. Hole-transport materials (HTMs) play an essential role in achieving efficient inverted PSCs, as they determine the effectiveness of charge extraction and recombination at interfaces. Herein, three polyfluorene copolymers (TFB, PFB, and PFO) are investigated as HTMs for construction of inverted PSCs. It is found that the photovoltaic performance of the solar cells is closely correlated with the electronic properties of the HTMs. Due to its high mobility along with the favored energy-level alignment with perovskite, TFB shows superior charge extraction and suppressed interfacial recombination than PFB- and PFO-based devices, which delivers a high efficiency of 18.48% with an open-circuit voltage (VOC) of up to 1.1 V. In contrast, the presence of a large energy barrier in the PFO-based devices results in substantial losses in both VOC and photocurrent. These results demonstrate that TFB can serve as a superior HTM for inverted PSCs. Moreover, it is anticipated that the performance of the three HTMs identified here might guide the molecular design of novel HTMs for the manufacture of highly efficient inverted PSCs."
194,"Perovskite solar cells (PSCs) and organic solar cells (OSCs) are promising renewable light-harvesting technologies with high performance, but the utilization of hazardous dopants and high boiling additives is harmful to all forms of life and the environment. Herein, new multirole π-conjugated polymers (P1–P3) are developed via a rational design approach through theoretical hindsight, further successfully subjecting them into dopant-free PSCs as hole-transporting materials and additive-free OSCs as photoactive donors, respectively. Especially, P3-based PSCs and OSCs not only show high power conversion efficiencies of 17.28% and 8.26%, but also display an excellent ambient stability up to 30 d (for PSCs only), owing to their inherent superior optoelectronic properties in their pristine form. Overall, the rational approach promises to support the development of environmentally and economically sustainable PSCs and OSCs."
195,"CsPbBr3 based perovskite solar cells draw boosted investigation benefitting from their simplified preparation property and outstanding stability against moist and heat while the photo-electrical conversion efficiency (PCE) is still worth promotion. In addition, relatively wide band gap limits the light utilization ability of pristine CsPbBr3 which leads to insufficient photo-induced charge carrier population thereby a low photocurrent density. Herein, we for the first time demonstrate a strategy to combine crystalized Si quantum dots (QDs) with CsPbBr3 inverse opal (IO) which significantly enhances the solar energy utilization efficiency by virtue of providing an additional fluorescence resonance energy transfer (FRET) process from Si QDs to CsPbBr3 IO. Acting as donor, the emitted photoluminescence from Si QDs can be absorbed by CsPbBr3, which serves as acceptor, leading to an increased carrier population in the system. Meanwhile, the multi-dimensional heterojunction between Si QDs and CsPbBr3 IO effectively facilitates the system bulk charge transfer process. A greatly improved PCE up to 8.31% with an obviously enhanced photocurrent density up to 7.8 mA⋅cm−2 can be obtained with a competitive IPCE up to 81%. This strategy provides a new alternative method to develop high-performance perovskite solar cells and other photo-electronic devices."
196,"Layered quasi-2D organic–inorganic hybrid perovskites (OIHPs) prevent oxygen and moisture permeation, for long-lifetime photovoltaic performance. Unfortunately, the electrical and photoinduced surface and dipolar polarizations caused due to the presence of the organic cation spacer in the structure remain unclear. Herein, a high-performance planar quasi-2D OIHP solar cell comprising (PEA)2(MA)3Pb4I13 (n = 4) is designed. It displays a large area coverage and an interconnected nanorod network, which contributes to efficient light absorption and charge carrier transport. The surface and dipolar polarizations exhibit remarkable light intensity and electric field–dependent characteristics at short-circuit-current (Jsc) and steady-state (i.e., Voc) conditions. More importantly, exhibits a nonlinear behavior at steady states. Such a unique feature is in accordance with the dipolar polarization measured at the same condition. The phenomenon can be explained by the significant dipole–dipole interaction at lower electric field strengths. At higher field strengths, the screen of the dipoles due to charge accumulation at the surface of the organic cation spacer leads to slower increment of . Thus, carefully designing the quasi-2D perovskite nanostructure, together with the dielectric property of the organic cation spacer, may play an exceptionally important role for future high-performance quasi-2D perovskite solar cells."
197,"Large-area polydimethylsiloxane (PDMS) films with variably sized moth-eye structures were fabricated to improve the efficiency of perovskite solar cells. An approach that incorporated photolithography, bilayer PDMS deposition and replication was used in the fabrication process. By simply attaching the moth-eye PDMS films to the transparent substrates of perovskite solar cells, the optical properties of the devices could be tuned by changing the size of the moth-eye structures. The device with 300-nm moth-eye PDMS films greatly enhanced power conversion efficiency of ~ 21% due to the antireflective effect of the moth-eye structure. Furthermore, beautiful coloration was observed on the 1000-nm moth-eye PDMS films through optical interference caused by the diffraction grating effect. Our results imply that moth-eye PDMS films can greatly enhance the efficiency of perovskite solar cells and building-integrated photovoltaics."
